epochNum	subjectID	blockNumSrc	blockNumExp	epochStartSample	
201	01-05-0006	29	1	699001	
206	01-05-0006	50	2	720001	
211	01-05-0006	57	3	744001	
216	01-05-0006	67	4	795001	
221	01-05-0006	93	5	1020001	
226	01-05-0006	175	6	1211001	
231	01-05-0006	181	7	1228801	
236	01-05-0006	195	8	1455001	
241	01-05-0006	218	9	1488860	
246	01-05-0006	244	10	1514860	
451	01-05-0011	1	1	14001	
456	01-05-0011	16	2	29001	
461	01-05-0011	28	3	274001	
466	01-05-0011	45	4	505001	
471	01-05-0011	59	5	519001	
476	01-05-0011	76	6	536001	
481	01-05-0011	129	7	636001	
486	01-05-0011	158	8	780001	
491	01-05-0011	165	9	814001	
496	01-05-0011	166	10	956001	
1501	01-04-0016	171	1	517001	
1506	01-04-0016	375	2	1128001	
1511	01-04-0016	402	3	1362001	
2011	01-02-0019	130	1	527001	
2016	01-02-0019	163	2	691501	
2021	01-02-0019	371	3	1140401	
1951	01-02-0013	50	1	281001	
1956	01-02-0013	95	2	721201	
1961	01-02-0013	158	3	784201	
1276	01-03-0054	76	1	607001	
1281	01-03-0054	143	2	826001	
1286	01-03-0054	304	3	1230001	
751	01-05-0016	7	1	316001	
756	01-05-0016	35	2	1083001	
761	01-05-0016	55	3	1120501	
1081	01-03-0033	31	1	451001	
1086	01-03-0033	162	2	925001	
1091	01-03-0033	201	3	1083901	
1366	01-04-0006	8	1	215001	
1371	01-04-0006	65	2	660001	
1376	01-04-0006	81	3	676001	
931	01-03-0007	9	1	235401	
936	01-03-0007	30	2	873001	
941	01-03-0007	45	3	911001	
