eventNum	startSamples	durationSamples	startSec	durationSec	
1	1441	57	14.41	0.57	
2	2147	69	21.47	0.69	
3	3878	106	38.78	1.06	
4	5001	55	50.01	0.55	
5	5808	79	58.08	0.79	
6	6729	62	67.29	0.62	
7	6910	37	69.1	0.37	
8	7985	121	79.85	1.21	
9	8707	72	87.07	0.72	
10	9027	37	90.27	0.37	
11	9087	54	90.87	0.54	
12	9380	96	93.8	0.96	
13	9982	125	99.82	1.25	
14	11730	58	117.3	0.58	
15	12088	231	120.88	2.31	
16	12884	51	128.84	0.51	
17	13269	55	132.69	0.55	
18	13900	60	139	0.6	
19	14454	53	144.54	0.53	
20	15203	94	152.03	0.94	
21	15715	36	157.15	0.36	
22	15768	130	157.68	1.3	
23	16149	49	161.49	0.49	
24	17224	130	172.24	1.3	
25	18084	59	180.84	0.59	
26	19838	73	198.38	0.73	
27	20112	91	201.12	0.91	
28	20243	62	202.43	0.62	
29	20698	92	206.98	0.92	
30	21167	32	211.67	0.32	
31	21227	55	212.27	0.55	
32	21580	39	215.8	0.39	
33	23309	150	233.09	1.5	
34	23656	129	236.56	1.29	
35	24284	67	242.84	0.67	
36	24534	76	245.34	0.76	
37	25119	64	251.19	0.64	
38	25267	59	252.67	0.59	
39	26750	94	267.5	0.94	
40	27848	112	278.48	1.12	
41	28083	73	280.83	0.73	
42	29817	108	298.17	1.08	
43	30352	57	303.52	0.57	
44	30903	69	309.03	0.69	
45	31218	88	312.18	0.88	
46	31661	40	316.61	0.4	
47	31721	84	317.21	0.84	
48	32002	32	320.02	0.32	
49	32561	119	325.61	1.19	
50	32740	97	327.4	0.97	
51	33443	150	334.43	1.5	
52	34137	53	341.37	0.53	
53	35855	53	358.55	0.53	
54	36033	46	360.33	0.46	
55	36917	46	369.17	0.46	
56	37453	60	374.53	0.6	
57	37940	41	379.4	0.41	
58	38109	69	381.09	0.69	
59	39045	48	390.45	0.48	
60	39775	75	397.75	0.75	
61	40551	44	405.51	0.44	
62	41049	133	410.49	1.33	
63	41449	68	414.49	0.68	
64	41604	35	416.04	0.35	
65	42004	57	420.04	0.57	
66	42765	40	427.65	0.4	
67	43934	61	439.34	0.61	
68	44491	60	444.91	0.6	
69	46191	72	461.91	0.72	
70	47399	72	473.99	0.72	
71	49171	73	491.71	0.73	
72	49381	135	493.81	1.35	
73	50126	108	501.26	1.08	
74	50608	127	506.08	1.27	
75	53241	86	532.41	0.86	
76	53635	39	536.35	0.39	
77	54591	88	545.91	0.88	
78	55702	62	557.02	0.62	
79	56819	86	568.19	0.86	
80	57078	69	570.78	0.69	
81	58365	131	583.65	1.31	
82	58874	94	588.74	0.94	
83	59292	140	592.92	1.4	
84	60578	157	605.78	1.57	
85	61314	210	613.14	2.1	
86	63430	124	634.3	1.24	
87	63706	117	637.06	1.17	
88	63920	102	639.2	1.02	
89	64542	89	645.42	0.89	
90	64825	79	648.25	0.79	
91	65399	115	653.99	1.15	
92	65637	73	656.37	0.73	
93	66639	56	666.39	0.56	
94	67242	136	672.42	1.36	
95	67750	103	677.5	1.03	
96	67923	64	679.23	0.64	
97	68694	98	686.94	0.98	
98	69336	136	693.36	1.36	
99	70788	139	707.88	1.39	
100	71387	52	713.87	0.52	
101	72797	32	727.97	0.32	
102	72998	71	729.98	0.71	
103	73447	62	734.47	0.62	
104	73533	32	735.33	0.32	
105	73719	37	737.19	0.37	
