startSec	durationSec	eventName	
1210.9219	115	segmentViewed	
15191.1055	115	segmentViewed	
17281.1328	115	segmentViewed	
1215.5619	1.81	spindle	
1222.0919	1.22	spindle	
1223.4819	0.53	spindle	
1226.4719	1.51	spindle	
1232.5819	1.94	spindle	
1238.2319	1.63	spindle	
1242.2019	0.79	spindle	
1250.8419	0.74	spindle	
1253.4419	1.31	spindle	
1256.7719	1.11	spindle	
1257.9819	0.41	spindle	
1262.4819	0.5	spindle	
1265.1219	0.86	spindle	
1271.2219	1.06	spindle	
1272.6119	0.81	spindle	
1276.5019	1.39	spindle	
1281.7019	0.61	spindle	
1284.0019	0.69	spindle	
1293.5619	1.64	spindle	
1297.4519	0.94	spindle	
1298.5619	0.61	spindle	
1299.6719	0.62	spindle	
1301.7919	0.81	spindle	
1303.7619	0.69	spindle	
1306.7019	1.95	spindle	
1310.8919	1.4	spindle	
1314.8419	1.94	spindle	
1318.8119	1.25	spindle	
1321.5519	0.91	spindle	
15191.1055	0.67	spindle	
15198.2255	0.72	spindle	
15202.1955	0.96	spindle	
15207.1055	0.77	spindle	
15209.6555	0.39	spindle	
15211.3755	0.62	spindle	
15215.3055	0.61	spindle	
15217.4955	0.62	spindle	
15225.8055	0.42	spindle	
15234.2255	0.69	spindle	
15239.2755	0.81	spindle	
15243.6755	1.34	spindle	
15248.9055	1.09	spindle	
15250.4055	0.84	spindle	
15254.0055	0.65	spindle	
15257.8155	0.86	spindle	
15265.2355	1.06	spindle	
15268.2655	1.63	spindle	
15272.0455	0.71	spindle	
15279.4255	0.84	spindle	
15283.8055	0.42	spindle	
15287.2855	0.54	spindle	
15291.4055	1.01	spindle	
15299.7055	0.59	spindle	
15303.2555	0.97	spindle	
17286.6628	0.86	spindle	
17328.8328	1.33	spindle	
17331.4928	0.81	spindle	
17334.5228	0.92	spindle	
17345.6128	1.47	spindle	
17358.9428	1.06	spindle	
17374.3328	0.67	spindle	
17383.1328	0.53	spindle	
17386.7228	0.67	spindle	
